Company,Title,Disc,Link
 Ledger , Backend Software Developer Senior Python f m ,Paris,https://web3.career//backend-software-developer-senior-python-f-m-ledger/94570
 Synechron , Python Developer Mobile Cloud IoT and Blockchain Technologies ,N/A,https://web3.career//python-developer-mobile-cloud-iot-and-blockchain-technologies-synechron/94485
 TradingView , Senior python developer ,N/A,https://web3.career//senior-python-developer-tradingview/94395
 TradingView , Backend developer Go Python ,N/A,https://web3.career//backend-developer-go-python-tradingview/94380
N/A,N/A,N/A,https://web3.career//metana
 iCapital , Back End Python Engineer Assistant Vice President Vice President ,N/A,https://web3.career//back-end-python-engineer-assistant-vice-president-vice-president-icapital/94340
 CoW DAO (CoW Swap) , Smart Contract Engineer web3 ,N/A,https://web3.career//smart-contract-engineer-web3-cow-dao-cow-swap/94258
 Guardrail , Founding Engineer ,N/A,https://web3.career//founding-engineer-guardrail/86781
 Hermeneutic Investments , Senior OnChain Data Analyst ,N/A,https://web3.career//senior-on-chain-data-analyst-hermeneutic-investments/92734
 Hermeneutic Investments , Senior OnChain Data Engineer ,N/A,https://web3.career//senior-on-chain-data-engineer-hermeneutic-investments/92732
 Cryptology , Team Lead python ,N/A,https://web3.career//team-lead-python-cryptology/92606
 Swissblock , Senior Software Engineer Go Python ,N/A,https://web3.career//senior-software-engineer-go-python-swissblock/92483
 Bitpanda , Senior Backend Engineer Python Pricing Hedging Services ,N/A,https://web3.career//senior-backend-engineer-python-pricing-hedging-services-bitpanda/83648
 Fireblocks , Senior Python Backend Engineer Blockchain ,N/A,https://web3.career//senior-python-backend-engineer-blockchain-fireblocks/90673
 Launchpadtechnologiesinc , Python Developer ,N/A,https://web3.career//python-developer-launchpadtechnologiesinc/73690
 Binance , SDET Python Trading Tech ,N/A,https://web3.career//sdet-python-trading-tech-binance/90446
